red_fighter_name,blue_fighter_name,date,red_fighter_total_pts,blue_fighter_total_pts
DRAKKAR KLOSE,BRANDON JENKINS,04/16/2022,"['10', '10', '10']","['8', '8', '8']"
JON JONES,CIRYL GANE,03/04/2023,"['-', '-', '-']","['-', '-', '-']"
JOANNE WOOD,TAILA SANTOS,11/20/2021,"['-', '-', '-']","['-', '-', '-']"
AUGUSTO SAKAI,DON'TALEMAYES,02/25/2023,"['30', '30', '30']","['27', '27', '27']"
NAZIM SADYKHOV,EVAN ELDER,02/18/2023,"['18', '18']","['20', '20']"
STEPHANIELUCIANO,TALITA ALENCAR,08/10/2024,"['30', '30', '30']","['27', '27', '27']"
NICOLAENEGUMEREANU,IKE VILLANUEVA,10/23/2021,"['-', '-', '-']","['-', '-', '-']"
EDMENSHAHBAZYAN,GERALDMEERSCHAERT,08/24/2024,"['10', '10', '10']","['9', '9', '9']"
VIKTORIIADUDAKOVA,ISTELA NUNES,07/15/2023,"['-', '-']","['-', '-']"
ALEXANDERVOLKANOVSKI,YAIR RODRIGUEZ,07/08/2023,"['20', '20', '20']","['18', '18', '18']"
CASEY O'NEILL,LUANA SANTOS,08/18/2024,"['30', '30', '30']","['26', '27', '27']"
MAGOMED ANKALAEV,VOLKAN OEZDEMIR,10/30/2021,"['29', '30', '30']","['28', '27', '27']"
WELLINGTON TURMAN,BRUNO SILVA,06/19/2021,"['-', '-', '-']","['-', '-', '-']"
GABRIEL BENITEZ,CHARLIEONTVEROS,08/13/2022,"['-', '-', '-']","['-', '-', '-']"
ANDREFILI,DANIEL PINEDA,06/26/2021,"['10', '10', '10']","['8', '9', '9']"
GILBERT BURNS,STEPHENTHOMPSON,07/10/2021,"['29', '29', '29']","['28', '28', '28']"
UMARNURMAGOMEDOV,SERGEYMOROZOV,01/20/2021,"['9', '10', '10']","['10', '9', '9']"
DEVIN CLARK,AZAMAT MURZAKANOV,08/13/2022,"['18', '18', '18']","['20', '20', '20']"
LUANA SANTOS,STEPHANIEEGGER,12/09/2023,"['29', '30', '29']","['28', '27', '28']"
TIMUR VALIEV,MARTIN DAY,02/06/2021,"['30', '30', '30']","['25', '25', '26']"
DIEGO FERREIRA,BENEILDARIUSH,02/06/2021,"['28', '28', '29']","['29', '29', '28']"
SEAN BRADY,KELVIN GASTELUM,12/02/2023,"['20', '20', '20']","['18', '18', '17']"
ALEXANDERHERNANDE,DAMON JACKSON,04/06/2024,"['28', '28', '30']","['29', '29', '27']"
FRANCISCO TRINALDO,MUSLIMSALIKHOV,06/05/2021,"['27', '27', '27']","['30', '30', '30']"
LAUREN MURPHY,JOANNE CALDERWOOD,06/12/2021,"['29', '28', '29']","['28', '29', '28']"
-,-,03/30/2024,"['-', '-', '-']","['-', '-', '-']"
RODOLFOBELLATO,IHOR POTIERIA,12/02/2023,"['9', '9', '9']","['10', '10', '10']"
GABRIEL BENITEZ,MAHESHATE,04/27/2024,"['29', '28', '28']","['28', '29', '29']"
JACKHERMANSSON,EDMENSHAHBAZYAN,05/22/2021,"['29', '29', '29']","['27', '27', '27']"
VOLKANOEZDEMIR,NIKITA KRYLOV,10/23/2022,"['27', '28', '28']","['30', '29', '29']"
JACARE SOUZA,ANDRE MUNIZ,05/15/2021,"['-', '-', '-']","['-', '-', '-']"
JUNYONG PARK,TAFON NCHUKWI,05/08/2021,"['28', '29', '30']","['2928', '26', '2625']"
MANAMARTINEZ,RONNIE LAWRENCE,02/12/2022,"['27', '27', '28']","['29', '29', '29']"
CUB SWANSON,IONATHAN MARTINEZ,10/15/2022,"['9', '9', '9']","['10', '10', '10']"
DERON WINN,ANTONIO ARROYO,12/19/2020,"['29', '29', '29']","['28', '28', '28']"
TONY FERGUSON,CHARLES OLIVEIRA,12/12/2020,"['26', '26', '26']","['30', '30', '30']"
ALEXANDERHERNANDEZ,BILL ALGEO,10/07/2023,"['27', '27', '27']","['30', '30', '30']"
ISLAM MAKHACHEV,ALEXANDERVOLKANOVSK,10/21/2023,"['-', '-', '-']","['-', '-', '-']"
NIKOLASMOTTA,CAMERON VANCAMP,09/17/2022,"['-', '-', '-']","['-', '-', '-']"
RYAN SPANN,BOGDAN GUSKOV,04/27/2024,"['10', '10', '10']","['9', '9', '9']"
ALEXANDRE PANTOJA,STEVE ERCEG,05/04/2024,"['48', '48', '49']","['47', '47', '46']"
HAKEEMDAWODI,JULIAN EROSA,09/10/2022,"['27', '27', '27']","['30', '30', '30']"
ELVESBRENER,KAYNANKRUSCHEWSKY,11/04/2023,"['-', '-', '-']","['-', '-', '-']"
TOM ASPINALL,ALAN BAUDOT,10/11/2020,"['-', '-', '-']","['-', '-', '-']"
THIAGOMOISES,MELOUIZAEL COSTA,01/21/2023,"['10', '10', '10']","['9', '9', '9']"
TATSURO TAIRA,CARLOS CANDELARIO,05/14/2022,"['30', '30', '30']","['26', '27', '27']"
YUSAKUKINOSHITA,ADAM FUGITT,02/04/2023,"['-', '-', '-']","['-', '-', '-']"
KATLYNCHOOKAGIAN,JESSICA ANDRADE,10/18/2020,"['-', '-', '-']","['-', '-', '-']"
STEVE GARCIA,CHARLIEONTIVEROS,10/09/2021,"['10', '10', '10']","['9', '9', '9']"
TYSON PEDRO,MODESTASBUKAUSKAS,02/12/2023,"['27', '28', '28']","['30', '29', '29']"
ALEXANDERVOLKOV,IAIRZINHO ROZENSTRUIK,06/04/2022,"['-', '-', '-']","['-', '-', '-']"
FELICE HERRIG,KAROLINA KOWALKIEWICZ,06/04/2022,"['9', '9', '9']","['10', '10', '10']"
BRANDONROYVAL,MATT SCHNELL,05/07/2022,"['-', '-', '-']","['-', '-', '-']"
ARMENPETROSYAN,CHRISTIANLEROYDUNCAN,06/17/2023,"['29', '29', '30']","['28', '28', '27']"
-,-,06/24/2023,"['28', '28', '29']","['29', '29', '28']"
JOURNEYNEWSON,FERNIEGARCIA,05/07/2022,"['30', '30', '29']","['27', '27', '28']"
ARIANE CARNELOSSI,LOOPY GODINEZ,05/07/2022,"['26', '26', '27']","['30', '30', '30']"
-,-,06/24/2023,"['29', '30', '29']","['28', '27', '28']"
ARMAN TSARUKYAN,JOAQUIM SILVA,06/17/2023,"['19', '19', '19']","['19', '19', '19']"
MACY CHIASSON,NORMADUMONT,05/07/2022,"['30', '28', '30']","['27', '29', '27']"
JOESOLECKI,ALEXDA SILVA,06/04/2022,"['28', '29', '28']","['227', '2827', '2928']"
NICKDIAZ,ROBBIE LAWLER,09/25/2021,"['19', '19', '18']","['19', '19', '20']"
THIAGO SANTOS,JOHNNY WALKER,10/02/2021,"['48', '48', '48']","['47', '47', '47']"
DAN IGE,MOVSAR EVLOEV,06/04/2022,"['27', '26', '27']","['30', '30', '30']"
JOSHCULIBAO,MELSIK BAGHDASARYAN,02/12/2023,"['9', '9', '9']","['10', '10', '10']"
JEKA SARAGIH,ANSHUL JUBLI,02/04/2023,"['9', '9', '9']","['10', '10', '10']"
BRIAN ORTEGA,CHAN SUNG JUNG,10/18/2020,"['50', '50', '50']","['45', '45', '45']"
MARKUSPEREZ,DRICUSDU PLESSIS,10/11/2020,"['-', '-', '-']","['-', '-', '-']"
NICK MAXIMOV,ANDREPETROSKI,05/14/2022,"['-', '-']","['-', '-']"
GABRIEL BONFIM,MOUNIR LAZZEZ,01/21/2023,"['-', '-', '-']","['-', '-', '-']"
JJALDRICH,VERONICA HARDY,05/11/2024,"['28', '28', '28']","['29', '29', '29']"
CAIO BORRALHO,ABUSMAGOMEDOV,11/04/2023,"['29', '29', '30']","['28', '28', '27']"
JOHNNY WALKER,ION CUTELABA,09/10/2022,"['-', '-', '-']","['-', '-', '-']"
TONY GRAVELY,JAVID BASHARAT,09/17/2022,"['28', '28', '28']","['29', '29', '29']"
KAUEFERNANDES,MARC DIAKIESE,11/04/2023,"['28', '27', '29']","['29', '30', '28']"
MATHEUS NICOLAU,ALEX PEREZ,04/27/2024,"['9', '9', '9']","['10', '10', '10']"
DEIVESON FIGUEIREDO,BRANDON MORENO,12/12/2020,"['48', '47', '47']","['46', '47', '47']"
DREWDOBER,RICKYGLENN,10/07/2023,"['-', '-', '-']","['-', '-', '-']"
SIJARA EUBANKS,PANNIE KIANZAD,12/19/2020,"['28', '28', '28']","['29', '29', '29']"
CHRISTIAN AGUILERA,CARLSTON HARRIS,05/08/2021,"['-', '-', '-']","['-', '-', '-']"
JORDAN WRIGHT,DUSKO TODOROVIC,10/15/2022,"['10', '10', '10']","['9', '9', '8']"
-,-,10/23/2022,"['29', '30', '29']","['28', '27', '28']"
LANDO VANNATA,MIKE GRUNDY,05/15/2021,"['29', '27', '30']","['28', '30', '27']"
BEN.ROTHWELL,CHRIS BARNETT,05/22/2021,"['10', '10', '10']","['9', '9', '9']"
ALEXPEREIRA,JAMAHAL HILL,04/13/2024,"['-', '-', '-']","['-', '-', '-']"
CHRISWEIDMAN,BRUNO SILVA,03/30/2024,"['30', '30', '30']","['27', '27', '27']"
ERYK ANDERS,DARREN STEWART,06/12/2021,"['29', '29', '29']","['28', '27', '27']"
DRAKKARKLOSE,JOE SOLECKI,12/02/2023,"['-', '-', '-']","['-', '-', '-']"
ROB FONT,DEIVESON.FIGUEIREDO,12/02/2023,"['27', '27', '27']","['30', '30', '30']"
TANNER BOSER,ILIR LATIFI,06/05/2021,"['28', '28', '29']","['29', '29', '27']"
BRENDAN ALLEN,CHRIS CURTIS,04/06/2024,"['47', '48', '49']","['48', '47', '46']"
ALEXANDRE PANTOJA,MANEL KAPE,02/06/2021,"['29', '30', '29']","['28', '27', '28']"
STEVE GARCIA,MELQUIZAELCOSTA,12/09/2023,"['9', '9', '9']","['10', '10', '10']"
SEUNGWOO CHO,YOUSSEFZALAL,02/06/2021,"['29', '30', '29']","['28', '27', '28']"
VICTORIA LEONARDO,MANON FIOROT,01/20/2021,"['9', '9', '8']","['10', '10', '10']"
TAI TUIVASA,GREG HARDY,07/10/2021,"['-', '-', '-']","['-', '-', '-']"
PRISCILA CACHOEIRA,ARIANE LIPSKI,08/13/2022,"['-', '-', '-']","['-', '-', '-']"
ODEOSBOURNE,TYSON NAM,08/13/2022,"['-', '-', '-']","['-', '-', '-']"
TIM MEANS,NICOLASDALBY,06/26/2021,"['29', '29', '29']","['28', '28', '28']"
MATT BROWN,DHIEGO LIMA,06/19/2021,"['9', '9', '9']","['10', '10', '10']"
ASHLEEEVANS-SMITH,AILIN PEREZ,07/15/2023,"['25', '25', '26']","['30', '30', '30']"
LI JINGLIANG,KHAMZATCHIMAEY,10/30/2021,"['-', '-', '-']","['-', '-', '-']"
JOSH CULIBAO,RICARDO RAMOS,08/18/2024,"['29', '28', '28']","['28', '29', '29']"
NEILMAGNY,MICHAEL MORALES,08/24/2024,"['-', '-', '-']","['-', '-', '-']"
FRANCISCO TRINALDO,DWIGHT GRANT,10/23/2021,"['29', '27', '29']","['27', '29', '27']"
TUCKER LUTZ,MELSIKBAGHDASARYAN,07/15/2023,"['28', '28', '28']","['29', '29', '29']"
JIM MILLER,ALEXANDERHERNANDEZ,02/18/2023,"['28', '27', '27']","['29', '30', '30']"
YOUSSEFZALAL,JARNO ERRENS,08/10/2024,"['-', '-', '-']","['-', '-', '-']"
ANDRE MUNIZ,BRENDAN ALLEN,02/25/2023,"['19', '18', '18']","['19', '20', '20']"
VALENTINA SHEVCHENKO,ALEXA GRASSO,03/04/2023,"['29', '29', '29']","['28', '28', '28']"
RAFA GARCIA,JESSE RONSON,04/16/2022,"['10', '10', '10']","['9', '9', '9']"
JAKE HADLEY,CAMERONSMOTHERMAN,10/19/2024,"['26', '2827', '2827']","['30', '29', '29']"
RANI YAHYA,KYUNG HO KANG,11/20/2021,"['29', '29', '29']","['28', '28', '28']"
CYNTHIA CALVILLO,ANDREA LEE,11/13/2021,"['18', '18', '18']","['20', '20', '20']"
ALIAMAIN STERLING,PETR YAN,04/09/2022,"['48', '47', '48']","['47', '48', '47']"
PETR YAN,MERABDVALISHVIL,03/11/2023,"['45', '45', '45']","['50', '50', '50']"
MAYRA BUENO SILVA,WU YANAN,04/16/2022,"['29', '29', '30']","['28', '28', '27']"
MAGOMED ANKALAEV,ALEKSANDARRAKIC,10/26/2024,"['29', '29', '29']","['28', '28', '28']"
JUSTIN GAETHIE,RAFAEL FIZIEV,03/18/2023,"['29', '28', '29']","['28', '28', '28']"
AMANDA RIBAS,MAYCEE BARBER,06/24/2023,"['9', '9', '9']","['10', '10', '10']"
SHARA MAGOMEDOV,ARMENPETROSYAN,10/26/2024,"['10', '10', '10']","['9', '9', '9']"
NIKITA KRYLOV,RYAN SPANN,03/11/2023,"['-', '-', '-']","['-', '-', '-']"
JENNIFERMAIA,CASEY O'NEILL,03/18/2023,"['29', '29', '30']","['28', '28', '27']"
PHIL HAWES,CHRIS CURTIS,11/06/2021,"['-', '-', '-']","['-', '-', '-']"
MICHAEL CHIESA,SEAN BRADY,11/20/2021,"['28', '28', '28']","['29', '29', '29']"
JORDAN LEAVITT,TREYOGDEN,04/16/2022,"['29', '29', '28']","['28', '28', '29']"
MACKENZIEDERN,TECIA TORRES,04/09/2022,"['29', '29', '28']","['28', '28', '29']"
SONG YADONG,JULIO ARCE,11/13/2021,"['10', '10', '10']","['9', '9', '9']"
JOSH PARISIAN,JAMALPOGUES,02/18/2023,"['28', '27', '27']","['29', '30', '30']"
DA'MON BLACKSHEAR,FARID BASHARAT,03/04/2023,"['28', '28', '28']","['29', '29', '29']"
SHAUNA BANNON,BRUNA BRASIL,07/22/2023,"['28', '27', '28']","['29', '30', '29']"
JACK JENKINS,HERBERTBURNS,08/18/2024,"['20', '20', '20']","['18', '17', '18']"
AMANDA RIBAS,VIRNA JANDIROBA,10/30/2021,"['29', '29', '29']","['28', '28', '28']"
TYSON NAM,AZAT MAKSUM,07/15/2023,"['28', '28', '29']","['29', '29', '28']"
NORMADUMONT,CHELSEA CHANDLER,07/15/2023,"['30', '30', '30']","['27', '27', '27']"
JUNYONG PARK,GREGORYRODRIGUES,10/23/2021,"['9', '9', '9']","['10', '10', '10']"
DENNIS BUZUKIA,FRANCISMARSHALL,08/24/2024,"['29', '27', '28']","['28', '30', '29']"
AJFLETCHER,ANGELOOSA,08/20/2022,"['27', '28', '28']","['29', '29', '29']"
JOSHUAVAN,KEVIN BORJAS,11/11/2023,"['29', '29', '29']","['28', '28', '28']"
YAZMIN JAUREGUI,IASMIN LUCINDO,08/13/2022,"['29', '30', '29']","['28', '27', '28']"
SEAN O'MALLEY,KRISMOUTINHO,07/10/2021,"['20', '20', '20']","['17', '17', '17']"
KENNEDYNZECHUKWU,DANILO MARQUES,06/26/2021,"['18', '19', '18']","['20', '19', '20']"
CYNTHIA CALVILLO,NINA NUNES,08/13/2022,"['28', '29', '27']","['29', '28', '30']"
EDMENSHAHBAZYAN,AJDOBSON,03/23/2024,"['-', '-', '-']","['-', '-', '-']"
KAROL ROSA,JOSELYNE EDWARDS,02/06/2021,"['30', '30', '30']","['27', '27', '27']"
WELLINGTON TURMAN,JARED GOODEN,12/02/2023,"['10', '10', '10']","['9', '9', '9']"
RODOLFOVIEIRA,ANTHONY HERNANDEZ,02/13/2021,"['9', '9', '9']","['10', '10', '10']"
PAUL CRAIG,JAMAHAL HILL,06/12/2021,"['-', '-', '-']","['-', '-', '-']"
ERIN BLANCHFIELD,MANON FIOROT,03/30/2024,"['45', '45', '45']","['50', '50', '50']"
BOBBYGREEN,JIM MILLER,04/13/2024,"['29', '30', '29']","['27', '25', '26']"
DUSKOTODOROVIC,GREGORYRODRIGUES,06/05/2021,"['28', '27', '27']","['29', '30', '30']"
CLAY GUIDA,JOAQUIM SILVA,12/02/2023,"['28', '28', '28']","['29', '29', '29']"
DAMON JACKSON,PAT SABATINI,09/17/2022,"['-', '-', '-']","['-', '-', '-']"
ALEXA GRASSO,VIVIANE ARAUJO,10/15/2022,"['50', '49', '49']","['45', '46', '46']"
GIGA CHIKADZE,CUB SWANSON,05/01/2021,"['-', '-', '-']","['-', '-', '-']"
ANDREA LEE,ANTONINA SHEVCHENKO,05/15/2021,"['10', '10', '10']","['9', '9', '9']"
MAKHMUDMURADOV,CAIO BORRALHO,10/23/2022,"['27', '27', '28']","['30', '30', '29']"
JIMMY FLICK,CODY DURDEN,12/19/2020,"['-', '-', '-']","['-', '-', '-']"
PIERA RODRIGUEZ,ARIANE CARNELOSSI,05/18/2024,"['10', '10', '10']","['9', '9', '9']"
MARCIN TYBURA,GREG HARDY,12/19/2020,"['9', '9', '9']","['10', '10', '10']"
JAILTON ALMEIDA,ANTON TURKALJ,09/10/2022,"['-', '-', '-']","['-', '-', '-']"
RINATFAKHRETDINOV,ELIZEU ZALESKIDOS,11/04/2023,"['28', '28', '28']","['29', '28', '28']"
BILLY RAY GOFF,TREYWATERS,05/11/2024,"['27', '28', '27']","['30', '29', '30']"
ISMAELBONFIM,VINC PICHEL,05/04/2024,"['30', '30', '30']","['27', '27', '27']"
ANTHONYSMITH,DEVIN CLARK,11/28/2020,"['-', '-', '-']","['-', '-', '-']"
KAMARU USMAN,KHAMZATCHIMAEY,10/21/2023,"['27', '28', '27']","['29', '28', '29']"
NATE DIAZ,TONY FERGUSON,09/10/2022,"['30', '30', '28']","['27', '27', '29']"
LIANA JOJUA,MIRANDAMAVERICK,10/24/2020,"['9', '9', '8']","['10', '10', '10']"
ANDREW SANCHEZ,BRUNO SILVA,10/16/2021,"['19', '19', '20']","['19', '19', '18']"
TOSHIOMLKAZAMA,RINYA NAKAMURA,02/04/2023,['4'],['WHIE JUDCE]']
LUAN LACERDA,CODY STAMANN,01/21/2023,"['28', '28', '28']","['29', '29', '29']"
EDSON BARBOZA,MAKWAN AMIRKHANI,10/11/2020,"['30', '30', '29']","['27', '26', '28']"
ALEXANDERVOLKANOVSKI,BRIAN ORTEGA,09/25/2021,"['49', '50', '50']","['46', '44', '45']"
NIKLAS STOLZE,BENOITSAINTDENIS,06/04/2022,"['9', '9', '9']","['10', '10', '10']"
KARINE SILVA,POLIANA BOTELHO,06/04/2022,"['-', '-', '-']","['-', '-', '-']"
GERMAINE DERANDAMIE,JULIANNA PENA,10/04/2020,"['19', '19', '19']","['19', '19', '19']"
LOOPY GODINEZ,SILVANA GOMEZ JUAREZ,10/09/2021,"['-', '-', '-']","['-', '-', '-']"
KARINE SILVA,KETLEN SOUZA,06/03/2023,"['-', '-', '-']","['-', '-', '-']"
RANDY,WELLINGTON,06/24/2023,"['29', '29', '29']","['28', '28', '28']"
TRACY CORTEZ,MELISSAGATTO,05/07/2022,"['29', '29', '29']","['28', '28', '28']"
RANDY BROWN,KHAOSWILLIAMS,05/07/2022,"['29', '29', '28']","['28', '28', '29']"
-,-,06/24/2023,"['27', '28', '27']","['30', '29', '30']"
MARVIN VETTORI,JARED CANNONIER,06/17/2023,"['45', '45', '46']","['49', '49', '48']"
FRANCISCOTRINALDO,DANNYROBERTS,05/07/2022,"['29', '30', '30']","['28', '26', '27']"
KLEYDSON RODRIGUES,CIVERGARA,05/07/2022,"['28', '29', '28']","['29', '28', '29']"
-,-,06/24/2023,"['10', '10', '10']","['9', '9', '9']"
-,-,06/03/2023,"['28', '28', '29']","['29', '29', '28']"
MICHAELTRIZANO,LUCASALMEIDA,06/04/2022,"['19', '19', '19']","['19', '19', '19']"
CHARLESROSA,DAMON JACKSON,10/09/2021,"['27', '28', '27']","['29', '29', '30']"
KYLERPHILLIPS,CAMERON ELSE,10/04/2020,"['10', '10', '10']","['9', '9', '9']"
ALEJANDROPEREZ,JOHNNY EDUARDO,10/02/2021,"['9', '9', '9']","['10', '10', '10']"
DAMON JACKSON,DAN ARGUETA,06/04/2022,"['29', '30', '30']","['28', '27', '27']"
SHAMILABDURAKHIMOV,AILTON ALMEIDA,01/21/2023,"['8', '9', '8']","['10', '10', '10']"
BENROTHWELL,MARCIN TYBURA,10/11/2020,"['27', '27', '27']","['29', '29', '29']"
NATE LANDWEHR,LUDOVIT KLEIN,10/16/2021,"['20', '20', '19']","['18', '18', '19']"
JOEL ALVAREZ,ALEXANDERYAKOVLEV,10/24/2020,"['-', '-', '-']","['-', '-', '-']"
JEONGYEONG LEE,YI ZHA,02/04/2023,"['29', '27', '29']","['28', '30', '28']"
MIGUEL BAEZA,TAKASHI SATO,11/28/2020,"['10', '10', '10']","['9', '9', '9']"
ALESSANDRO COSTA,KEVIN BORIAS,05/04/2024,"['10', '10', '10']","['9', '9', '9']"
KHAMZAT CHIMAEV,KEVIN HOLLAND,09/10/2022,"['-', '-', '-']","['-', '-', '-']"
MAGOMED ANKALAEV,JOHNNY WALKER,10/21/2023,"['-', '-']","['-', '-']"
VITORPETRINO,MODESTASBUKAUSKAS,11/04/2023,"['10', '10', '10']","['9', '9', '9']"
DENIS TIULIULIN,JAMIE PICKETT,09/10/2022,"['9', '10', '10']","['10', '9', '9']"
DOUGLAS SILVA DEANDRADE,SERGEYMOROZOV,02/12/2022,"['9', '9', '8']","['10', '10', '10']"
CHARLES JOHNSON,JAKE HADLEY,05/11/2024,"['29', '29', '29']","['28', '28', '28']"
ANTHONY.PETTIS,ALEX MORONO,12/19/2020,"['29', '29', '29']","['28', '28', '28']"
ALATENGHEILI,KLEYDSON RODRIGUES,05/18/2024,"['30', '30', '29']","['27', '27', '28']"
CHRISTOS GIAGOS,CARLTON MINUS,12/19/2020,"['29', '30', '29']","['28', '26', '27']"
JORDAN WRIGHT,JAMIEPICKETT,05/15/2021,"['-', '-', '-']","['-', '-', '-']"
BELALMUHAMMAD,SEAN BRADY,10/23/2022,"['10', '9', '10']","['6', '10', '9']"
KAROL ROSA,LINA LANSBERG,10/23/2022,"['3Q29', '28', '29']","['27', '28', '27']"
DOMINICKREYES,JIRI PROCHAZKA,05/01/2021,"['9', '9', '9']","['10', '10', '10']"
ANTHONYHERNANDEZ,MARC-ANDRE BARRIAULT,09/17/2022,"['20', '20', '20']","['18', '18', '18']"
MONTANA DE LAROSA,ARIANE LIPSKI,06/05/2021,"['10', '10', '10']","['9', '9', '9']"
DEIVESON FIGUEIREDO,CODY GARBRANDT,04/13/2024,"['9', '9', '9']","['10', '10', '10']"
PUNAHELESORIANO,DUSTIN STOLTZFUS,12/02/2023,"['9', '9', '10']","['10', '10', '9']"
VERONICAHARDY,JAMEY-LYN HORTH,12/02/2023,"['29', '29', '28']","['28', '28', '29']"
VICENTELUOUE,JOAQUIN BUCKLEY,03/30/2024,"['9', '10', '9']","['10', '9', '10']"
DREWDOBER,BRAD RIDDELL,06/12/2021,"['28', '28', '28']","['29', '29', '29']"
BELALMUHAMMAD,DHIEGO LIMA,02/13/2021,"['30', '30', '30']","['27', '27', '27']"
MOLLY MCCANN,LARA PROCOPIO,02/06/2021,"['27', '28', '27']","['29', '29', '30']"
PAYTON TALBOTT,CAMERON SAAIMAN,03/23/2024,"['10', '10', '10']","['9', '9', '9']"
MICHAEL JOHNSON,CLAY GUIDA,02/06/2021,"['27', '27', '27']","['30', '30', '30']"
RENATOMOICANO,JAI HERBERT,06/26/2021,"['10', '10', '10']","['9', '9', '9']"
MARTIN BUDAY,LUKASZ BRZESKI,08/13/2022,"['29', '28', '29']","['28', '29', '28']"
NATE LANDWEHR,DAVID ONAMA,08/13/2022,"['28', '29', '29']","['28', '27', '27']"
IRENE ALDANA,YANA KUNITSKAYA,07/10/2021,"['-', '-', '-']","['-', '-', '-']"
JOHN CASTANEDA,KYUNG HO KANG,11/11/2023,"['30', '30', '30']","['27', '27', '27']"
SEAN WOODSON,LUIS SALDANA,08/20/2022,"['29', '28', '27']","['227', '2928', '3Q29']"
NAZIM SADYKHOV,TERRANCEMCKINNEY,07/15/2023,"['9', '9', '9']","['10', '10', '10']"
ZACHARYREESE,JOSE DANIEL MEDINA,08/24/2024,"['30', '30', '30']","['27', '27', '27']"
MASON JONES,DAVID ONAMA,10/23/2021,"['29', '29', '29']","['28', '28', '28']"
RICARDO RAMOS,ZUBAIRA TUKHUGOV,10/30/2021,"['28', '28', '28']","['29', '29', '29']"
TOM NOLAN,ALEXREYES,08/18/2024,"['30', '30', '29']","['27', '27', '28']"
ALEXANDERMUNOZ,CARL DEATON,07/15/2023,"['30', '30', '29']","['26', '27', '28']"
JAFELFILHO,DANIEL BAREZ,07/22/2023,"['-', '-', '-']","['-', '-', '-']"
ESTEBAN RIBOVICS,LOIK RADZHABOV,03/04/2023,"['28', '28', '28']","['29', '29', '29']"
WILLIAM KNIGHT,MARCIN PRACHNIO,02/18/2023,"['27', '27']","['30', '30']"
GILBERTBURNS,KHAMZAT,04/09/2022,"['28', '28', '28']","['29', '29', '29']"
MIGUEL BAEZA,KHAOSWILLIAMS,11/13/2021,"['18', '19', '19']","['20', '19', '19']"
KETLEN VIEIRA,MIESHA TATE,11/20/2021,"['48', '48', '49']","['47', '47', '46']"
CHRIS BARNETT,MARTIN BUDAY,04/16/2022,"['27', '27', '27']","['30', '30', '30']"
GUNNAR NELSON,BRYAN BARBERENA,03/18/2023,"['-', '-', '-']","['-', '-', '-']"
AL IAQUINTA,BOBBY GREEN,11/06/2021,"['-', '-', '-']","['-', '-', '-']"
ALEXANDER,ALEXANDR,03/11/2023,"['-', '-', '-']","['-', '-', '-']"
LERONE MURPHY,DAN IGE,10/26/2024,"['29', '29', '29']","['28', '28', '28']"
DEVIN CLARK,WILLIAMKNIGHT,04/16/2022,"['19', '19', '19']","['19', '19', '19']"
DAVEYGRANT,ADRIAN YANEZ,11/20/2021,"['28', '28', '30']","['29', '29', '27']"
LUANA PINHEIRO,SAM HUGHES,11/20/2021,"['29', '30', '30']","['28', '27', '27']"
-,-,04/09/2022,"['30', '29', '30']","['27', '28', '27']"
JAMEY-LYN HORTH,IVANA PETROVIC,11/02/2024,"['30', '29', '28']","['27', '28', '29']"
JOANNE WOOD,LUANA CAROLINA,03/18/2023,"['29', '30', '28']","['28', '27', '29']"
ISLAM MAKHACHEV,DAN HOOKER,10/30/2021,"['-', '-', '-']","['-', '-', '-']"
CHRIS DUNCAN,OMAR MORALES,03/18/2023,"['29', '29', '27']","['28', '28', '30']"
ROBERTWHITTAKER,DRICUSDUPLESSIS,07/08/2023,"['9', '9', '9']","['10', '10', '10']"
UNIOR TAFA,VALTERWALKER,08/18/2024,"['-', '-', '-']","['-', '-', '-']"
MAKWANAMIRKHANI,LERONEMURPHY,10/30/2021,"['10', '10', '10']","['9', '9', '9']"
ALEX CACERES,SEUNGWOO CHOI,10/23/2021,"['9', '9', '9']","['t9', '9', '9']"
WANG CONG,VICTORIA LEONARDO,08/24/2024,"['-', '-', '-']","['-', '-', '-']"
JACKDELLA MADDALENA,BASSIL HAFEZ,07/15/2023,"['28', '29', '29']","['29', '28', '28']"
RAFAEL ALVES,NURULLO ALIEV,02/25/2023,"['27', '27', '28']","['3029', '3Q29', '2928']"
JAIHERBERT,FARES ZIAM,07/22/2023,"['28', '27', '28']","['29', '30', '29']"
MIKE MALOTT,YOHAN LAINESSE,02/25/2023,"['-', '-', '-']","['-', '-', '-']"
RYAN HALL,ILIA TOPURIA,07/10/2021,"['-', '-', '-']","['-', '-', '-']"
AMIR ALBAZI,FRANCISCOFIGUEIREDO,08/20/2022,"['-', '-', '-']","['-', '-', '-']"
JASON WITT,JOSH QUINLAN,08/13/2022,"['-', '-', '-']","['-', '-', '-']"
TANNER BOSER,OVINCE SAINT PREUX,06/26/2021,"['10', '10', '10']","['9', '9', '9']"
JIRI PROCHAZKA,ALEX PEREIRA,11/11/2023,"['10', '10', '10']","['9', '9', '9']"
BENOITSAINTDENIS,GABRIEL MIRANDA,09/03/2022,"['10', '10', '10']","['8', '8', '8']"
PANNIE KIANZAD,ALEXIS DAVIS,06/12/2021,"['29', '30', '30']","['28', '27', '27']"
DAN ARGUETA,JEAN MATSUMOTO,04/05/2024,"['10', '10', '10']","['9', '9', '9']"
